id,sentence,e1_pos,e2_pos,relation,label
36,the technology is available to produce and transmit electricity economically from otec systems,8,12,"Entity-Origin(e1,e2)",13
37,the medicare buy in plan ran into senate resistance,3,7,Other,0
38,"the provinces are divided into counties \( shahrestan \) , and subdivided into districts \( bakhsh \) and sub districts \( dehestan \)",1,5,"Component-Whole(e2,e1)",12
39,financial stress is one of the main causes of divorce,1,9,"Cause-Effect(e1,e2)",9
40,newspapers swap content via widgets with the help of the newsgator service,0,11,"Instrument-Agency(e2,e1)",6
41,the women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median,1,5,"Cause-Effect(e1,e2)",9
42,the transmitter was discovered inside a bed settee suite on which he had been sitting,1,8,"Content-Container(e1,e2)",17
43,the kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the arabian sea coast of kerala state in southern india,5,8,"Member-Collection(e2,e1)",16
44,"a st paul college student was released from jail wednesday night , after his arrest tuesday in the alleged rape of another student on campus",4,8,"Entity-Origin(e1,e2)",13
45,calluses are caused by improperly fitting shoes or by a skin abnormality,0,10,"Cause-Effect(e2,e1)",10
46,adults use drugs for this purpose,0,2,"Instrument-Agency(e2,e1)",6
47,the councilor proposed assessing infinitival complements through elicitation,1,7,"Instrument-Agency(e2,e1)",6
48,"as in the popular movie `` deep impact '' , the action of the perseid meteor shower is caused by a comet , in this case periodic comet swift tuttle",15,21,"Cause-Effect(e2,e1)",10
49,the following information appeared in the notes to consolidated financial statements of some corporate annual reports,6,10,Other,0
50,hiphop appropriates the symbols of a consumer society oversized diamond colliers are worn,10,11,Other,0
51,the radiation from the atomic bomb explosion is a typical acute radiation,1,5,"Cause-Effect(e2,e1)",10
52,the ride on boat tiller was developed by engineers arnold s juliano and dr eulito u bautista,2,3,"Component-Whole(e2,e1)",12
53,a neoplastic recurrence arose from an extensive radiation induced ulceration,2,7,"Cause-Effect(e2,e1)",10
54,he has a tattoo on his right arm and scars from stitches on his right elbow,9,11,"Cause-Effect(e2,e1)",10
55,"whether your home includes a charm of finches , a sute of bloodhounds , or a knob of toads , i think it 's important to keep the numbers within reason",16,18,"Member-Collection(e2,e1)",16
56,"furthermore , these ingo practitioners constructed a discourse around participation which distorted the real significance of participation",7,9,"Message-Topic(e1,e2)",1
57,kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha,3,4,Other,0
58,scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession,8,12,"Message-Topic(e1,e2)",1
59,this cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage barbie clothing,7,17,"Content-Container(e1,e2)",17
60,my major disagreement with lyons concerns the causal part of his theory,2,7,Other,0
61,both his feet have been moving into the ball,2,8,"Entity-Destination(e1,e2)",7
62,"the scissors were in a small plastic soap container , next to a bar of soap , and the box cutters were in a box next to a bottle of after shave lotion",19,24,"Content-Container(e1,e2)",17
63,"a great wing of fluorite dragons , the greatest concentration of the rather solitary dragons ever known , joined the desperate battle with the blues and silvers against chaos",2,5,"Member-Collection(e2,e1)",16
64,"as a control , cowpea was sealed in double bags without fumigant",4,8,"Entity-Destination(e1,e2)",7
65,the infectious bacterial disease brucellosis has been found in a beef cow in eastern idaho,4,11,Other,0
66,"as the anglo norman force sustained but little loss in this battle , their archers at the onset showered a hail of arrows upon the irish host who were not protected with mail armour , and shot them down in hundreds before they could get to close quarters and then the charge of the heavy anglo norman cavalry of mail clad knights , completed the havoc and rout of the undisciplined gaelic hosts",65,70,Other,0
67,"the first incarnation of this series was set in the 1940s , during world war ii , when the princess left her native paradise island \( where amazon women had lived for centuries \) to help the u s foil the nazis",19,24,"Entity-Origin(e1,e2)",13
68,cieply 's story makes a compelling point about modern day studio economics,2,6,"Message-Topic(e1,e2)",1
69,we poured the milk into the pumpkin mixture,3,6,"Entity-Destination(e1,e2)",7
70,lawyers in detroit also worked overtime as several lawsuits ensued from angry and injured fans,8,14,"Entity-Origin(e1,e2)",13
71,the continuing nigerian outbreak is the biggest ever caused by the vaccine,3,11,"Cause-Effect(e2,e1)",10
72,our mercenary army has now degenerated into a godless cabal of mindless killers not unlike the soviets that were butchering civilians in afghanistan \( exactly as sadistically as we have \),9,12,"Member-Collection(e2,e1)",16
73,the fire inside wtc was caused by exploding fuel,1,8,"Cause-Effect(e2,e1)",10
74,the epithelium from the knockout mouse bladder is migrating into the transplanted matrix,1,12,"Entity-Destination(e1,e2)",7
75,the staff was removed from his position,1,6,"Entity-Origin(e1,e2)",13
76,the suffering caused by the terrorists is the real torture,1,5,"Cause-Effect(e2,e1)",10
77,this love of nature 's gift has been reflected in artworks dating back more than a thousand years,1,10,"Message-Topic(e2,e1)",2
78,the court decided the objection by making the instalment order as sought,1,9,"Product-Producer(e2,e1)",4
79,"in a poetic twist , the tsunami triggered by the rock band forced many american jazz and blues singers to seek work in the united kingdom , which is where anderson found a receptive audience in 1965",6,11,"Cause-Effect(e2,e1)",10
80,leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit,0,6,"Cause-Effect(e2,e1)",10
81,a team of students from virginia tech university have created a vehicle that allows vision impaired drivers to take control of the wheel,16,22,"Instrument-Agency(e2,e1)",6
82,bmw 's idrive 4 0 brings in a horde of new features,7,10,"Member-Collection(e2,e1)",16
83,the metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp,2,8,"Cause-Effect(e1,e2)",9
84,it consists of an ensemble of ladies who are highly qualified to play various arabic musical instruments,4,6,"Member-Collection(e2,e1)",16
85,it underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry,11,16,"Product-Producer(e1,e2)",3
86,"unlike other fish , grunion come out of the water completely to lay their eggs in the wet sand of the beach",18,21,Other,0
87,a large marble was dropped into the bowl,2,7,"Entity-Destination(e1,e2)",7
88,historical view of the damage caused by the 1693 catania earthquake and the reconstruction activities,4,10,"Cause-Effect(e2,e1)",10
89,"ai requested that the perpetrators be prosecuted to the fullest extent of the law , that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers",34,40,"Cause-Effect(e2,e1)",10
90,the findings have been published in a special section of the academic journal archives of sexual behavior,1,8,Other,0
91,an amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in colorado,2,19,"Entity-Origin(e1,e2)",13
92,the introduction in the book is a summary of what is in the text,1,4,"Component-Whole(e1,e2)",11
93,the second simulation was started from the uncomplexed x ray structure after insertion of the ligand into the binding site,2,9,"Entity-Origin(e1,e2)",13
94,this user plays games on a portable console,1,7,"Instrument-Agency(e2,e1)",6
95,the ambitious eurasia exhibition arose from an idea by achille bonito oliva,3,7,"Entity-Origin(e1,e2)",13
96,the driver of the cement truck cleaned the loading chute on his truck with a truck mounted water hose and began to pull away,1,17,"Instrument-Agency(e2,e1)",6
97,the marshall plan also provided a way of gaining public acceptance in europe for the new deal format that the united states had successfully used before the war to end the recession triggered by the 1929 wall street crash,31,38,"Cause-Effect(e2,e1)",10
98,in the corner there are several gate captains and a legion of wu crossbowmen,10,13,"Member-Collection(e2,e1)",16
99,"once they grow there , the swelling and inflammation caused by the infection closes off the sac , causing it not to `` shed '' bacteria , and protecting the bacteria inside from antibiotics and your body 's own immune cells",6,12,"Cause-Effect(e2,e1)",10
100,"guitars are played acoustically the tone is produced by the vibration of the strings which is amplified by the body of the guitar , which acts as a large hollow resonating chamber , or they may rely on an amplifier that can electronically manipulate tone",6,11,"Cause-Effect(e2,e1)",10
101,"flowers are reborn from the soil and the climate begins to warm , all set to a score improvised by an orchestra of birds",17,21,Other,0
102,he posted the answers to the website,3,6,"Entity-Destination(e1,e2)",7
103,"arcane subtlety reduced the threat caused by polymorph by 40 at max rank , though the threat caused by the spell is minimal",17,21,"Cause-Effect(e2,e1)",10
104,a programmer uses a high level language to implement its algorithms,1,6,"Instrument-Agency(e2,e1)",6
105,"the beautiful hydrothermal features in the park \( geysers , hot springs , mud pots , etc \) , the uplift and subsidence , and many of the earthquakes are caused by the movements of hydrothermal and or magmatic fluids",29,34,"Cause-Effect(e2,e1)",10
106,"flowers are nice , but do n't last very long and the fruit in a fruit basket often goes bad",12,16,"Content-Container(e1,e2)",17
107,he decided to pad the heel of shoes with a shock absorbing insole or heel pad,5,7,"Component-Whole(e1,e2)",11
108,"from the scots \( lingle \) and french \( ligneul , lignoul \) , comes a shoemaker 's sewing thread , waxed and bristled \( see waxed end \)",16,19,"Instrument-Agency(e2,e1)",6
109,one tablet per quart was dropped into a canteen and made the water safe to drink,1,8,"Entity-Destination(e1,e2)",7
110,"the tiny image of the renaissance master is hidden in a carafe of wine in his 1597 oil painting bacchus , one of his most acclaimed works",2,11,"Content-Container(e1,e2)",17
111,"then i swept up the dust , which looked like sawdust , and put it in a plastic container , which was in a cabinet under the granite counter top",17,24,"Content-Container(e1,e2)",17
112,in the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium,5,11,"Entity-Origin(e1,e2)",13
113,"in this comprehensive guide , over 850 roses are described , illustrated , and arranged by group",3,7,"Message-Topic(e1,e2)",1
114,chestnut flour was more common than wheat flour in the italian alps a century ago,0,1,"Entity-Origin(e2,e1)",14
115,for us the term artists ' book simply means a book made by an artist a book made as a work of art rather than as a literary artifact,4,6,"Product-Producer(e2,e1)",4
116,my parents bought her a silver necklace almost identical to the one pictured,5,6,Other,0
117,forward motion of the vehicle through the air caused a suction on the road draft tube,1,10,"Cause-Effect(e1,e2)",9
118,"paul friedrich guides us through a babel of words , and worlds of the imagination ranging from his translations from five languages \( notably the russian of his literary studies \) to the poetry of the indian mexico of his anthropological field work to america writ large super highways , a vermont farm , father and child",6,8,Other,0
119,the picture below shows a view chapel and west range of the inner courtyard of the castle,13,16,"Component-Whole(e1,e2)",11
120,i was attacked by a flock of pigeons today,5,7,"Member-Collection(e2,e1)",16
121,that decision was also the subject of an unsuccessful legal challenge,1,9,Other,0
122,the exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 c,6,13,"Entity-Origin(e1,e2)",13
123,individual investors moved into the property,1,5,"Entity-Destination(e1,e2)",7
124,one of the trickiest questions to answer in an interview relates to salary,4,12,"Message-Topic(e1,e2)",1
125,this tradition has been narrated in prophet 's early biographies,1,9,"Message-Topic(e2,e1)",2
126,a thief who tried to steal the truck broke the igenition with screwdriver,1,12,"Instrument-Agency(e2,e1)",6
127,"after the marian reforms the legion was notionally a unit of heavy infantrymen armed with just sword and pilum , but even so it was normally fielded with attached auxiliary skirmishers and missile troops , and incorporated a small cavalry unit",9,12,"Member-Collection(e2,e1)",16
128,the prosecutors carried guns into the court room,3,6,"Entity-Destination(e1,e2)",7
129,"the malfunctions on monday caused delays for patrons waiting to check out or renew books at the branches , and impeded access to personal accounts that allow users to renew or hold books online",1,5,"Cause-Effect(e1,e2)",9
130,chemical weapons have been dropped into the lake,0,7,"Entity-Destination(e1,e2)",7
131,many other dwarves also hailed from this infamous clan,2,8,"Entity-Origin(e1,e2)",13
132,the nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the united states supreme court,1,4,"Component-Whole(e1,e2)",11
133,global digital music sales grow as the music industry develops new business models,8,12,"Product-Producer(e2,e1)",4
134,"the devices were manufactured at the factory in beaverton well into the 1980s , when production was shifted elsewhere and portions of the factory sold",1,6,"Product-Producer(e1,e2)",3
135,"an expensive uniform and a strict ballot rendered it somewhat too exclusive in its character , but in the end it answered its purpose by becoming practically a muster of the national leaders of the present and the future",28,32,"Member-Collection(e2,e1)",16
136,the train ride from station to station is approximate 30 minutes,1,4,Other,0
137,the archaeological site yields relics from long forgotten culture,4,7,"Entity-Origin(e1,e2)",13
138,a maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems,1,4,Other,0
139,"water damage from roof leaks , plumbing leaks or flooding lead to the growth of molds",1,13,"Cause-Effect(e1,e2)",9
140,"warm weather is here , and with it comes the scourge of mosquitoes",10,12,Other,0
141,"the formation of struvite stones is associated with the presence of urea splitting bacteria , most commonly proteus mirabilis \( but also klebsiella , serratia , providencia species \)",1,4,Other,0
142,"our army was successfully engaged during the day with strong rearguards of all arms on the petit morin river , thereby materially assisting the progress of the french armies on our right and left , against whom the enemy was making his greatest efforts",38,43,Other,0
143,"so when william did cross the boyne on july 1st 1690 , he had an army consisting of the riffraff of europe 's mercenaries",19,23,"Member-Collection(e2,e1)",16
144,the overall geometry of the heart was extracted from the intensity data,2,11,"Entity-Origin(e1,e2)",13
145,the discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position,1,4,"Cause-Effect(e2,e1)",10
146,"flames of purple , pink , yellow and blue dance in the air as a coven of sorcerers call forth energies from within the empyrean",15,17,"Member-Collection(e2,e1)",16
147,"out of the early morning haze , a convoy of articulated lorries pulls into the gashouder square",8,11,"Member-Collection(e2,e1)",16
148,this book has transported readers into ancient times,4,6,"Entity-Destination(e1,e2)",7
149,"we always try to maintain the best environment for programmers , starting with good salary and conducive working environment",7,9,Other,0
150,"indeed , a green or black basalt heart scarab was found put inside the body in its place",8,14,"Content-Container(e1,e2)",17
151,the first motorcycle was manufactured in a small wood building with only one room,2,9,"Entity-Origin(e1,e2)",13
152,"the water pushed to the coast resulted in tides as much as three feet above normal , with waves of 5 10 feet atop these tides",1,8,"Cause-Effect(e1,e2)",9
153,the chapters in this book investigate issues and communities,1,6,"Message-Topic(e1,e2)",1
154,he rescheduled the birthday party to the next day,4,7,"Entity-Destination(e1,e2)",7
155,the bacterial aerosol was generated from an up draft nebulizer,1,8,"Product-Producer(e2,e1)",4
156,"people have travelled into space , but not the deep ocean",0,4,"Entity-Destination(e1,e2)",7
157,"for those of you who are unsure what afrikaans is , it is a language which originated from the dutch which were the first settlers in south africa and the unique language was evolved from other settlers from malaya , indonesia , madagascar and west africa",31,36,"Entity-Origin(e1,e2)",13
158,"beaver dams are created as a protection against predators , such as coyotes , wolves and bears , and to provide easy access to food during winter",0,1,"Product-Producer(e2,e1)",4
159,"so , the theme of the play has to do with religion",6,11,"Message-Topic(e1,e2)",1
160,there has been intense debate over the circles ' origins,4,9,"Message-Topic(e1,e2)",1
161,i have recently developed creases in my ear lobes,7,8,"Component-Whole(e2,e1)",12
162,"manufacturing extra neutral alcohol which is the basic ingredient used for making liquor , the commodity was largely used by companies making indian made foreign liquor \( imfl \)",3,12,"Entity-Origin(e2,e1)",14
163,initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane,2,10,"Instrument-Agency(e2,e1)",6
164,the province comprises the southeastern part of panay island with island province of guimaras just across its coast,1,5,"Component-Whole(e2,e1)",12
165,"the charge is the source of an electric field , which carries energy the electrostatic self energy",1,8,"Cause-Effect(e1,e2)",9
166,the tardiness however has been caused by the arrival of my old man who in true bloodworth fashion has had me walking everywhere,1,8,"Cause-Effect(e2,e1)",10
167,the key was in a chest,1,5,"Content-Container(e1,e2)",17
168,the residue was distilled from an arbuzov flask,1,7,"Entity-Origin(e1,e2)",13
169,"as the gondorians moved forward the evil force started to withdraw , unleashing a rain of deadly arrows into the heavily armoured gondorians",14,17,"Member-Collection(e2,e1)",16
170,it is a medieval latin manuscript relating the early history of the isle of man,5,9,"Message-Topic(e1,e2)",1
171,the river had now turned into full flood after the deluge of rain a few days ago,7,10,"Cause-Effect(e2,e1)",10
172,"he stopped rowing when the boat was opposite to the paddle wheel of the steamer , and the steamer stopped her engine at the same time",18,21,"Component-Whole(e2,e1)",12
173,this is the umbrella that peels the potatoes with a pencil and makes a pink ink with the peelings stood up,3,10,"Instrument-Agency(e2,e1)",6
174,"this american style wheat ale is a light , unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass",2,3,"Entity-Origin(e2,e1)",14
175,the car left the plant,1,4,"Entity-Origin(e1,e2)",13
176,our experience extends to 15 years continued promotion of this archipelago of nine islands,10,13,"Component-Whole(e2,e1)",12
177,"to separate the solids at the end of the experiment , the clay was contained in a semi permeable membrane tubing",12,19,"Content-Container(e1,e2)",17
178,this machine is blowing sand into molds,4,6,"Entity-Destination(e1,e2)",7
179,the cultivation consisted of plowing the crop with a double shovel plow,1,10,Other,0
180,the final chapter offers a theological survey of the use of the formula,2,5,"Message-Topic(e1,e2)",1
181,she mentioned the scandal caused by a bbc documentary on the treatment of children in a special needs home and asked how the state had responded to these,3,8,"Cause-Effect(e2,e1)",10
182,"isolated fractures of the shaft of the ulna , without other fractures , often result when the forearm is raised to fend off a blow",4,7,"Component-Whole(e1,e2)",11
183,we have placed the candidates into roles,4,6,Other,0
184,frequent agitations throw academic life into disarray,4,6,Other,0
185,still other examples of the potter 's ceramics are clad in slinky assortments of tassels and beads,5,7,"Product-Producer(e2,e1)",4
186,"the nasal cavity of birds contains turbinates \( bang 1971 \) , cartilaginous structures that are thought to have as one of their functions water recovery from air",1,4,"Component-Whole(e1,e2)",11
187,"thus , in simple words , a tendon attaches a muscle to a bone",7,10,Other,0
188,"positions were denoted by black dots along the tracks , the adjacent numbers indicating the day of the month",0,4,Other,0
189,the world health organization \( who \) found that the radiation release from the chernobyl accident was 200 times that of the hiroshima and nagasaki,10,15,"Cause-Effect(e2,e1)",10
190,my dog ate a cellophane bag full of dog treats on tuesday,4,8,"Content-Container(e2,e1)",18
191,the owl held the mouse in its claw,1,7,"Component-Whole(e2,e1)",12
192,this is how grain was delivered to the wooden grain bins and hay was put inside the upper part of the rock barn,12,22,"Entity-Destination(e1,e2)",7
193,police foiled an attempt to kill an artist who drew a cartoon depicting the prophet muhammad that sparked outrage in the muslim world,7,11,"Product-Producer(e2,e1)",4
194,"when woody harrelson received a copy of the screenplay for `` zombieland '' last year , he stuffed the paper into his duffel bag of unread scripts and promptly forgot about it",19,23,"Entity-Destination(e1,e2)",7
195,"the city is a treasure trove of terrific libraries , interesting museums , and wonderful victorian architecture complemented by the incomparable work of scotland 's greatest architect , charles rennie mackintosh",4,8,"Member-Collection(e2,e1)",16
196,we leave the bail of the reel open and place your the rod in a double mounted set up as shown on the facing page,3,6,"Component-Whole(e1,e2)",11
197,the mapungubwe collection at the university of pretoria features remarkable works from the largely forgotten kingdom of mapungubwe that flourished near the confluence of the limpopo and shashe rivers between 1000 and 1300 ad,10,15,"Entity-Origin(e1,e2)",13
198,"also , in the midst of the confusion caused by the coup , the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion",7,11,"Cause-Effect(e2,e1)",10
199,the title is taken from an 1813 book by a virginia planter and senator named john taylor,7,11,"Product-Producer(e1,e2)",3
200,"in the same way , a society is built up of many individuals",6,12,"Member-Collection(e2,e1)",16
201,the scientist approached the big cat with a notepad and a pencil in her hands,1,8,"Instrument-Agency(e2,e1)",6
202,the bottom photo is from the new york public library,2,9,"Entity-Origin(e1,e2)",13
203,the accident caused a major traffic snarl on the arterial road,1,6,"Cause-Effect(e1,e2)",9
204,two plane crash survivors have paid a special visit to the hutt hospital surgeon whose team helped to re build their shattered faces eight years ago,13,15,Other,0
205,the dress was in a trunk dated summer of 1938 along with several other dresses from this same period,1,5,"Content-Container(e1,e2)",17
206,"the various forms of idealistic , materialistic and agnostic philosophies are subject to the tension caused by the indicated situation",14,19,"Cause-Effect(e2,e1)",10
207,"from him , cain learns that alexis had survived his suicide and became the leader of that organization , renaming it delilah",14,17,"Member-Collection(e1,e2)",15
208,"james hagler , venice 's director of historical resources , has completed a picture book of the area 's buildings",5,14,"Product-Producer(e2,e1)",4
209,a program has fetched data into host variable arrays,4,8,"Entity-Destination(e1,e2)",7
210,"recently , only insignificant things arrive to theatres",4,7,"Entity-Destination(e1,e2)",7
211,tissue damage and electrode corrosion are both associatcd with high charge density stimulation,3,4,Other,0
212,two of walters 's fingers are inside the koala 's pouch,8,10,"Component-Whole(e2,e1)",12
213,"in a former residence , your writer had an atrium containing a duel of doves moles numbering 22",12,15,"Member-Collection(e2,e1)",16
214,"to stand up to the wind , umbrella frames are strong yet flexible",7,8,"Component-Whole(e2,e1)",12
215,contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve,0,18,"Cause-Effect(e2,e1)",10
216,a 15 minute plane drive from runway to terminal is uncommon,3,6,"Entity-Origin(e1,e2)",13
217,the geometric skeleton is derived from a static object using an implicit 'directions ' method,2,8,"Entity-Origin(e1,e2)",13
218,the filmmakers dug a large hole in the ground for the scene where the narnians cause the pillars supporting the growth near aslan 's how to collapse on the telmarines,1,5,"Product-Producer(e2,e1)",4
219,it is a monthly report providing opinion and advice on current united states government contract issues,4,6,"Message-Topic(e1,e2)",1
220,"governments , frightened of losing votes , resolved the crisis through subsidization",0,11,"Instrument-Agency(e2,e1)",6
221,"for christmas , daniel gave kelly a tiffany bracelet , and for valentine 's day he bought a diamond necklace",18,19,Other,0
222,"we also passed a wake of turkey buzzards , and i was again glad to not be driving , because my car and i both have shaky nerves still , from the great turkey buzzard incident of '08",4,7,"Member-Collection(e2,e1)",16
223,plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet,1,6,"Cause-Effect(e2,e1)",10
224,the sensor was manufactured in a cost effective thin film process,1,10,Other,0
225,"the putative left , we see , is just as eager as the nominal right to brand crime and violence with any hint of political motivation as terrorism , and therefore to remove it from the ordinary processes of criminal law and sanction , which are already quite draconian in these united states , and to animate parallel systems of harsher surveillance and punishment for the political compeers of such criminals",67,70,Other,0
226,"the list of the 10 most beautiful women posted on the official web site of the 2009 australian open was filled with sleek , thin images",1,25,"Component-Whole(e2,e1)",12
227,the rope of the prayer bell was there in a perfect state and coiled up,1,4,"Component-Whole(e1,e2)",11
228,one man pours on a liquid while the other man stirs the mixture with a wooden paddle or spatula,9,16,"Instrument-Agency(e2,e1)",6
229,"besides , the chinese case also challenges some ideas of rss theory , including the concept of alliance of different social classes and the role of working class in democratization",17,21,"Member-Collection(e2,e1)",16
230,"as the us and colombian military put pressure on drug traffickers , operations are migrating into nearby countries",12,16,"Entity-Destination(e1,e2)",7
231,a conical cover preserved in a ewer in athens accords extremely well with the form of these vessels,2,6,"Content-Container(e1,e2)",17
232,the front of the boring machine contains tungsten tipped picks that workers guide with the use of laser projections on video screens,5,8,"Component-Whole(e2,e1)",12
233,they incorporated the immigrant flows into microsimulation,3,6,"Entity-Destination(e1,e2)",7
234,i have always felt so relieved that roy and the boys had left the creek,10,14,"Entity-Origin(e1,e2)",13
235,the first report analyses the adaptation strategies of the eu member states,2,6,"Message-Topic(e1,e2)",1
236,cook 's discoveries prepared the way for establishment of a new penal colony by the colonial power,12,16,"Product-Producer(e1,e2)",3
237,this process passes on a health gene to the next generation,6,10,Other,0
238,a telescope assists the eye chiefly in two ways,1,4,"Instrument-Agency(e1,e2)",5
239,the boy accidentally went into the girl 's bathroom,1,8,"Entity-Destination(e1,e2)",7
240,the document is stored in the proper folder as a text,1,7,"Content-Container(e1,e2)",17
241,"unfortunately , they just had brief mentions and more pages were spent describing the clubs scene",9,15,"Message-Topic(e1,e2)",1
242,the map to the left shows a snapshot of weather conditions in selected towns across italy,9,10,Other,0
243,i reflected on this while passing a passel of pigeons parading on a loop sidewalk the other day,7,9,"Member-Collection(e2,e1)",16
244,the retailers poured resources into promoting low alcohol wine,3,7,Other,0
245,"fiscus was the treasury of the roman emperor , so called because the money was stored in baskets",12,16,"Content-Container(e1,e2)",17
246,hundreds of toxic chemicals were released into the atmosphere,3,8,"Entity-Destination(e1,e2)",7
247,"the final part of the court is completed by the chapel , begun by mary i in 1554 in memory of her father",2,10,Other,0
248,mobile lost in the ocean was found in a cod belly,0,10,"Content-Container(e1,e2)",17
249,the flyer advertised a two week workshop being conducted at the university this summer,1,5,"Message-Topic(e1,e2)",1
250,the hotel arose from the reconstruction of historical building,1,5,Other,0
251,"this revised edition incorporates new research findings and advances in the treatment of genetic disorders , including gene directed therapies",2,6,"Message-Topic(e1,e2)",1
252,"fish swim in a shoal , but they fall one by one",0,4,"Member-Collection(e1,e2)",15
253,all bookmarks have been exported to a single file,1,8,"Entity-Destination(e1,e2)",7
